qid,source,bf,q,gt_docs,gt_chunks,gt_n,rank,hit1,hit3,t1,t1s,t2,t2s,t3,t3s,gt_prev,t1p
1,representative,예금자보호제도,예금자 보호 한도는 얼마인가요?,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00,19,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#09,0.0302,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00,0.0301,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#15,0.029,예금자보호제도는 다수의 소액예금자를 우선 보호하고 부실 금융회사를 선택한 예금자도 일정부분 책임을 분담한다는 차원에서 예금의 전액을 보호하지 않고 일정액만을 보호,"질문 한 금융회사에 여러 개의 예·적금 계좌를 보유하고 있는 경우, 어떻게 보호되나요? 답변 예금자가 하나의 금융회사에 보유하"
2,representative,예금보험금 안내,예금보험금은 어떻게 신청하나요?,kdic-www-sp-dpstrprot-DpsmIbamtAplyProc-selectScrn;kdic-www-sp-dpstrprot-DpsmIbamtAplyPossDcmnt-selectScrn;kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#00;kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#01;kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#02,10,1,1,1,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#02,0.0328,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#01,0.0318,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#00,0.031,"예금보험에 가입한 금융회사가 예금의 지급정지, 영업 인 · 허가의 취소, 해산 또는 파산 등으로 고객의 예금을 지급할 수 없게 되는 경우를 “보험사고’라 하며, ","예금보험금은 아래의 공사 공시이율과 약정이율 중 낮은 금리를 적용 ※ 은행·저축은행·종합금융업 : 2.27% , 투자매매·투자"
3,representative,고객 미수령금 신청,고객 미수령금은 어떻게 조회하고 신청하나요?,kdic-www-sp-dpstrprot-ProtSystNramtInqAplyNramtGudn-selectScrn;kdic-fins-ua-aplygudn-NramtItgrAplyItrdMthdGudn-selectScrn,kdic-www-sp-dpstrprot-ProtSystNramtInqAplyNramtGudn-selectScrn#00,1,2,0,1,kdic-www-sp-dpstrprot-ProtSystHrpeHistInq-selectScrn#01,0.0323,kdic-www-sp-dpstrprot-ProtSystNramtInqAplyNramtGudn-selectScrn#00,0.032,kdic-www-sp-dpstrprot-ProtSystHrpeHistInq-selectScrn#00,0.0302,"예금보험공사는 부실화된 금융회사의 예금자등이 찾아가지 아니한 금액을 고객 미수령금으로 분류하여 통합 관리하고 있으며, 지속적인 홍보 및 안내를 통한 적극적인 미수","센터 민원실에서도 접수 가능(단,사망일이 속한 달의 말일로부터 6개월 이내에만 신청이 가능) 자세한 사항은 금융감독원 홈페이지"
4,representative,착오송금 반환 신청,착오송금 반환은 어떤 경우에 신청할 수 있나요?,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn;kdic-www-sp-kmrs-kmrsItrd-selectScrn;kdic-fins-ir-msdrpr-MsdrprAttnMttr-selectScrn;kdic-fins-cm-bbs-selectFaqMsdrGvbkAply,kdic-www-sp-kmrs-kmrsItrd-selectScrn#00;kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn#00,2,1,1,1,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn#00,0.0325,kdic-www-sp-kmrs-kmrsItrdProc-selectScrn#00,0.0325,kdic-www-sp-kmrs-kmrsItrd-selectScrn#00,0.0317,제도 소개 안내영상 영상내용입니다. 제도 소개 안내영상입니다. 잘못 보낸 돈 되찾기 서비스란 착오송금인이 실수로 잘못 보낸 돈을 최소한의 비용으로 빠르게 되찾을 ,신청 가능한 착오송금 금액 한도가 있나요? 신청 가능 한도는 착오송금 건당 5만원 이상 ~ 1억원 이하 입니다. 언제까지 신청
5,representative,채무조정 안내,신용회복 지원은 어떻게 받나요?,kdic-www-rb-lbltajmt-LbltAjmtSprtCredRcvrySprt-selectScrn,kdic-www-rb-lbltajmt-LbltAjmtSprtCredRcvrySprt-selectScrn#00;kdic-www-rb-lbltajmt-LbltAjmtSprtCredRcvrySprt-selectScrn#01;kdic-www-rb-lbltajmt-LbltAjmtSprtCredRcvrySprt-selectScrn#02,6,1,1,1,kdic-www-rb-lbltajmt-LbltAjmtSprtCredRcvrySprt-selectScrn#00,0.0325,kdic-www-rb-lbltajmt-LbltAjmtSprtCredRcvrySprt-selectScrn#01,0.032,kdic-www-rb-lbltajmt-LbltAjmtSprtPsnRg-selectScrn#03,0.031,개인신용회복지원제도란 개인 및 개인사업자 중 협약 등에서 구성하는 일정요건을 갖춘 채무자를 대상으로 신용불량에 따른 파산을 방지하고 그 경제적 회생기회를 도모하기,개인신용회복지원제도란 개인 및 개인사업자 중 협약 등에서 구성하는 일정요건을 갖춘 채무자를 대상으로 신용불량에 따른 파산을 방
6,representative,은닉재산 신고,은닉재산 신고 포상금은 얼마인가요?,kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn#02,17,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#10,0.0325,kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn#00,0.032,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,0.0315,은닉재산 신고 일반 국민이 금융부실관련자 1 아래 도움말 참조 의 은닉재산 2 아래 도움말 참조 정보를 쉽고 편리하게 신고하도록 하기 위하여 공사 내 은닉재산 신,"질문 은닉재산신고 포상제도는 어떻게 되나요? 답변 포상금 지급 기준 회수기여금액, 포상금 항목으로 구성된 포상금 지급 기준표 "
7,faq,예금자보호제도,예금보호한도 1억원은 언제부터 적용되었나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#11,0.0313,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#05,0.0311,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1",질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금
8,faq,예금자보호제도,1억원을 보호 받기 위해 별도로 신청을 해야 하나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#11,0.0325,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01,0.0325,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#06,0.0312,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 퇴직연금, 연금저축, 사고보험금에 대한 별도보호한도 1억원은 어떻게 적용되나요? 답변 ※ 별도 보호한도란? 국민의 노후 "
9,faq,예금자보호제도,어떤 금융회사의 예금이 보호되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn;kdic-www-sp-dpstrprot-selectProtSystProtSumr,kdic-www-sp-dpstrprot-selectProtSystProtSumr#00;kdic-www-sp-dpstrprot-selectProtSystProtSumr#01;kdic-www-sp-dpstrprot-selectProtSystProtSumr#02,20,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,0.032,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.0313,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#10,0.0298,"보호대상 금융회사는 은행, 보험회사(생명보험·손해보험회사), 투자매매업자·투자중개업자*, 종합금융회사, 상호저축은행 입니다. * 「자본시장과 금융투자업에 관한 법",질문 어떤 금융회사의 예금이 보호되나요? 답변 ☞ 예금보험공사 홈페이지 > 제도·정책 > 예금자보호제도 > 보호대상 > 금융회
10,faq,예금자보호제도,어떤 금융상품이 보호되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn;kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr,kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr#00;kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr#01;kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr#02,27,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.0323,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#04,0.031,kdic-www-sp-dpstrprot-ProtSystProtGudn-selectScrn#00,0.03,예금보험공사는 예금보험 가입 금융회사가 취급하는 '예금' 등 만을 보호합니다. 그런데 여기서 꼭 알아두어야 할 점은 모든 금융상품이 보호대상 '예금' 등에 해당하,질문 어떤 금융상품이 보호되나요? 답변 ☞ 예금보험공사 홈페이지 > 제도·정책 > 예금자보호제도 > 보호대상 > 금융상품 보호
11,faq,예금자보호제도,어떤 금융상품이 보호되지 않나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn;kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr,kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr#00;kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr#01;kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr#02,27,1,1,1,kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr#00,0.0325,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#04,0.032,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.0306,예금보험공사는 예금보험 가입 금융회사가 취급하는 '예금' 등 만을 보호합니다. 그런데 여기서 꼭 알아두어야 할 점은 모든 금융상품이 보호대상 '예금' 등에 해당하,예금보험공사는 예금보험 가입 금융회사가 취급하는 '예금' 등 만을 보호합니다. 그런데 여기서 꼭 알아두어야 할 점은 모든 금융
12,faq,예금자보호제도,외화예금도 보호되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#05,0.0328,kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr#01,0.0315,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.0315,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1",질문 외화예금도 보호되나요? 답변 네. 외화예금도 1억원까지 보호됩니다. ※ 예금보험금 지급공고일 기준 당해 금융회사의 최초 
13,faq,예금자보호제도,보험계약은 어떻게 보호되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#06,0.0323,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.031,kdic-www-sp-dpstrprot-ProtSystProtGudn-selectScrn#01,0.0306,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 보험계약은 어떻게 보호되나요? 답변 예금보험금을 지급하는 시점에 보험약관에서 정한 보험사고가 발생하지 않았다면, 해약환급"
14,faq,예금자보호제도,금융회사에 어떤 일이 발생했을 때 예금보험공사가 1억원까지 보호하나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#07,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#05,0.0315,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00,0.0305,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1",질문 금융회사에 어떤 일이 발생했을 때 예금보험공사가 1억원까지 보호하나요? 답변 금융회사가 2025년 9월 1일 이후 영업정
15,faq,예금자보호제도,원금뿐만 아니라 이자도 보호되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00,19,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#08,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#10,0.0308,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#09,0.0308,예금자보호제도는 다수의 소액예금자를 우선 보호하고 부실 금융회사를 선택한 예금자도 일정부분 책임을 분담한다는 차원에서 예금의 전액을 보호하지 않고 일정액만을 보호,"질문 원금뿐만 아니라 이자도 보호되나요? 답변 은행·저축은행 예·적금의 경우, 예·적금 원금과 이자를 합쳐 1억원까지 보호됩니"
16,faq,예금자보호제도,"한 금융회사에 여러 개의 예·적금 계좌를 보유하고 있는 경우, 어떻게 보호되나요?",kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#10,0.0325,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#09,0.0325,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.0317,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 서로 다른 금융회사에 각각 예·적금 계좌를 보유하고 있는 경우, 어떻게 보호되나요? 답변 서로 다른 금융회사에 가입한 예"
17,faq,예금자보호제도,"서로 다른 금융회사에 각각 예·적금 계좌를 보유하고 있는 경우, 어떻게 보호되나요?",kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#10,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#11,0.0312,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.031,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 서로 다른 금융회사에 각각 예·적금 계좌를 보유하고 있는 경우, 어떻게 보호되나요? 답변 서로 다른 금융회사에 가입한 예"
18,faq,예금자보호제도,"퇴직연금, 연금저축, 사고보험금에 대한 별도보호한도 1억원은 어떻게 적용되나요?",kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00,19,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#11,0.0328,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01,0.0315,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00,0.031,예금자보호제도는 다수의 소액예금자를 우선 보호하고 부실 금융회사를 선택한 예금자도 일정부분 책임을 분담한다는 차원에서 예금의 전액을 보호하지 않고 일정액만을 보호,"질문 퇴직연금, 연금저축, 사고보험금에 대한 별도보호한도 1억원은 어떻게 적용되나요? 답변 ※ 별도 보호한도란? 국민의 노후 "
19,faq,예금자보호제도,법인의 예금도 보호되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#12,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.03,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01,0.0294,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 법인의 예금도 보호되나요? 답변 네. 기업 등 법인의 예금도 개인예금과 마찬가지로 법인별 1억원까지 보호됩니다. 다만, "
20,faq,예금자보호제도,예금보호한도 1억원은 세전인가요 아니면 세후인가요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#13,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00,0.032,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#11,0.031,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1",질문 예금보호한도 1억원은 세전인가요 아니면 세후인가요? 답변 예금보험금 지급은 세전 기준으로 적용됩니다. 예금보험금을 수령한
21,faq,예금자보호제도,예금액 중에서 예금보호한도 1억원을 넘는 부분은 전혀 돌려 받지 못하나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00,19,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#15,0.0328,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00,0.031,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#13,0.03,예금자보호제도는 다수의 소액예금자를 우선 보호하고 부실 금융회사를 선택한 예금자도 일정부분 책임을 분담한다는 차원에서 예금의 전액을 보호하지 않고 일정액만을 보호,질문 예금액 중에서 예금보호한도 1억원을 넘는 부분은 전혀 돌려 받지 못하나요? 답변 예금보호한도 1억원을 초과하는 금액은 예
22,faq,예금자보호제도,부보금융회사가 합병되는 경우 예금보호한도는 어떻게 적용되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#16,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#14,0.0311,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#12,0.0306,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 부보금융회사가 합병되는 경우 예금보호한도는 어떻게 적용되나요? 답변 부보금융회사가 합병되는 경우에 신설, 존속, 소멸하는"
