qid,source,bf,q,gt_docs,gt_chunks,gt_n,rank,hit1,hit3,t1,t1s,t2,t2s,t3,t3s,gt_prev,t1p
23,faq,은닉재산 신고,부실관련자란 누구를 말하나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#09,0.032,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01,0.032,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사
24,faq,은닉재산 신고,은닉재산이란 구체적으로 무엇을 말하나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn#00,0.0318,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#03,0.0313,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 은닉재산이란 구체적으로 무엇을 말하나요? 답변 은닉재산이란 금융부실관련자의 재산으로서 국내 또는 해외에 은닉한 동산 · 
25,faq,은닉재산 신고,은닉재산 신고정보의 처리 절차는 어떻게 되나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,0.0323,kdic-www-sp-sprtfund-SprtCncmDclrInqGudn-selectScrn#00,0.032,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#05,0.032,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 은닉재산 신고정보의 처리 절차는 어떻게 되나요? 답변 신고센터에 접수된 신고정보는 신고대상자가 부실관련자인지 여부를 확인
26,faq,은닉재산 신고,은닉재산은 일정금액(재산가치) 이상이 되어야 신고가 가능한가요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#03,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#10,0.032,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#05,0.0303,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 은닉재산은 일정금액(재산가치) 이상이 되어야 신고가 가능한가요? 답변 은닉재산은 금액에 관계없이 신고가 가능합니다.
27,faq,은닉재산 신고,이미 접수한 정보와 동일한 정보를 제3자가 신고하는 경우에 신고 정보의 처리절차는 어떻게 되나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#04,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,0.032,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#05,0.0315,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 이미 접수한 정보와 동일한 정보를 제3자가 신고하는 경우에 신고 정보의 처리절차는 어떻게 되나요? 답변 이미 접수된 정보
28,faq,은닉재산 신고,은닉재산 신고시 신고정보의 취득경위까지도 신고센터에 알려주어야 하나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#05,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,0.032,kdic-www-sp-sprtfund-SprtCncmDclrInqGudn-selectScrn#00,0.0308,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 은닉재산 신고시 신고정보의 취득경위까지도 신고센터에 알려주어야 하나요? 답변 신고시 취득경위까지 반드시 알려주어야 할 의
29,faq,은닉재산 신고,재외국민이나 외국인도 신고할 수 있나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#06,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#08,0.031,kdic-www-sp-sprtfund-SprtCncmDclrInqGudn-selectScrn#00,0.031,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 재외국민이나 외국인도 신고할 수 있나요? 답변 신고자에 대한 제한이 없으므로 재외국민이나 외국인도 신고할 수 있습니다. 
30,faq,은닉재산 신고,신고자의 신상정보와 신고내용은 비밀이 보장되나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#07,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,0.032,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#08,0.0318,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 신고자의 신상정보와 신고내용은 비밀이 보장되나요? 답변 신고자의 신상정보와 신고내용은 신고자 본인의사에 반하여 공개되지 
31,faq,은닉재산 신고,익명이나 가명으로 신고하는 것도 가능한가요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#08,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,0.0318,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#03,0.0308,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 익명이나 가명으로 신고하는 것도 가능한가요? 답변 은닉재산의 신고시 허위 또는 무고성 신고 등의 남발을 방지하기 위하여 
32,faq,은닉재산 신고,신고대상자가 부실관련자인지 여부를 어떻게 알수있나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#09,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,0.0318,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#11,0.0306,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 신고대상자가 부실관련자인지 여부를 어떻게 알수있나요? 답변 신고대상자(법인 포함)가 부실관련자인지 여부는 신고센터와의 상
33,faq,은닉재산 신고,은닉재산신고 포상제도는 어떻게 되나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn;kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn#02,17,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#10,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#03,0.0318,kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn#00,0.0313,은닉재산 신고 일반 국민이 금융부실관련자 1 아래 도움말 참조 의 은닉재산 2 아래 도움말 참조 정보를 쉽고 편리하게 신고하도록 하기 위하여 공사 내 은닉재산 신,"질문 은닉재산신고 포상제도는 어떻게 되나요? 답변 포상금 지급 기준 회수기여금액, 포상금 항목으로 구성된 포상금 지급 기준표 "
34,faq,은닉재산 신고,기타 자세한 사항을 알고싶으면 어떻게 하면 되나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn;kdic-fins-cm-bbs-selectFaqCncmPrptDclr,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#11,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#09,0.0315,kdic-www-sp-sprtfund-SprtFndDebtDlngAplyGudn-selectScrn#01,0.0315,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 기타 자세한 사항을 알고싶으면 어떻게 하면 되나요? 답변 기타 자세한 사항은 예금보험공사 홈페이지( www.kdic.or
35,heading,예금자보호제도,표시·설명·확인 제도란,kdic-www-sp-dpstrprot-ProtSystProtGudn-selectScrn,kdic-www-sp-dpstrprot-ProtSystProtGudn-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystProtGudn-selectScrn#01,2,1,1,1,kdic-www-sp-dpstrprot-ProtSystProtGudn-selectScrn#00,0.0325,kdic-www-sp-dpstrprot-ProtSystProtGudn-selectScrn#01,0.0325,kdic-www-sp-kmrs-kmrsItrdAplyMthd-selectScrn#00,0.031,표시·설명·확인 제도란 표시·설명·확인 제도는 예금자보호법에 따라 부보금융회사가 판매하는 금융상품에 대하여 예금보험 여부 및 보호한도(원금과 소정의 이자를 합하여,표시·설명·확인 제도란 표시·설명·확인 제도는 예금자보호법에 따라 부보금융회사가 판매하는 금융상품에 대하여 예금보험 여부 및 
36,heading,예금보험금 안내,예금보험금이란?,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#00;kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#01;kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#02,4,1,1,1,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#02,0.032,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#01,0.0313,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#00,0.031,"예금보험에 가입한 금융회사가 예금의 지급정지, 영업 인 · 허가의 취소, 해산 또는 파산 등으로 고객의 예금을 지급할 수 없게 되는 경우를 “보험사고’라 하며, ","예금보험금은 아래의 공사 공시이율과 약정이율 중 낮은 금리를 적용 ※ 은행·저축은행·종합금융업 : 2.27% , 투자매매·투자"
37,heading,예금보험금 안내,가지급금이란?,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#00;kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#01;kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#02,4,1,1,1,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#01,0.0318,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#02,0.0313,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#10,0.0303,"예금보험에 가입한 금융회사가 예금의 지급정지, 영업 인 · 허가의 취소, 해산 또는 파산 등으로 고객의 예금을 지급할 수 없게 되는 경우를 “보험사고’라 하며, ",예금보험금/개산지급금/가지급금 신청 바로가기」 에 접속하여 예금보험금/개산지급금/가지급금을 신청하실 수 있습니다. 예금보험금이
38,heading,예금보험금 안내,개산지급금이란?,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#00;kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#01;kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#02,4,1,1,1,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#01,0.0313,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#02,0.0304,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#10,0.0303,"예금보험에 가입한 금융회사가 예금의 지급정지, 영업 인 · 허가의 취소, 해산 또는 파산 등으로 고객의 예금을 지급할 수 없게 되는 경우를 “보험사고’라 하며, ",예금보험금/개산지급금/가지급금 신청 바로가기」 에 접속하여 예금보험금/개산지급금/가지급금을 신청하실 수 있습니다. 예금보험금이
39,heading,고객 미수령금 신청,고객 미수령금이란?,kdic-www-sp-dpstrprot-ProtSystNramtInqAplyNramtGudn-selectScrn;kdic-fins-ua-aplygudn-NramtItgrAplyItrdMthdGudn-selectScrn,kdic-www-sp-dpstrprot-ProtSystNramtInqAplyNramtGudn-selectScrn#00,1,1,1,1,kdic-www-sp-dpstrprot-ProtSystNramtInqAplyNramtGudn-selectScrn#00,0.0328,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#00,0.0306,kdic-www-sp-dpstrprot-ProtSystHrpeHistInq-selectScrn#01,0.0294,"예금보험공사는 부실화된 금융회사의 예금자등이 찾아가지 아니한 금액을 고객 미수령금으로 분류하여 통합 관리하고 있으며, 지속적인 홍보 및 안내를 통한 적극적인 미수","예금보험공사는 부실화된 금융회사의 예금자등이 찾아가지 아니한 금액을 고객 미수령금으로 분류하여 통합 관리하고 있으며, 지속적인"
40,heading,고객 미수령금 신청,상속인 금융거래 조회서비스란?,kdic-www-sp-dpstrprot-ProtSystHrpeHistInq-selectScrn,kdic-www-sp-dpstrprot-ProtSystHrpeHistInq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystHrpeHistInq-selectScrn#01,2,1,1,1,kdic-www-sp-dpstrprot-ProtSystHrpeHistInq-selectScrn#00,0.0325,kdic-www-sp-dpstrprot-ProtSystHrpeHistInq-selectScrn#01,0.0325,kdic-www-sp-dpstrprot-DpsmIbamtAplyPossDcmnt-selectScrn#01,0.0306,"상속인 금융거래 조회서비스란? 공사는 상속인이 피상속인(사망자, 실종자, 금치산자 또는 피성년후견인, 피산정후견인)의 금융재산 및 채무를 여러 금융회사를 일일이 ","상속인 금융거래 조회서비스란? 공사는 상속인이 피상속인(사망자, 실종자, 금치산자 또는 피성년후견인, 피산정후견인)의 금융재산"
41,heading,고객 미수령금 신청,파산배당금이란?,kdic-www-sp-dpstrprot-ProtSystNramtInqAplyNramtGudn-selectScrn;kdic-fins-ua-aplygudn-NramtItgrAplyItrdMthdGudn-selectScrn,kdic-www-sp-dpstrprot-ProtSystNramtInqAplyNramtGudn-selectScrn#00,1,0,0,0,kdic-www-rb-lbltajmt-LbltAjmtSprtPsnBr-selectScrn#01,0.0315,kdic-www-rb-lbltajmt-LbltAjmtSprtPsnBr-selectScrn#00,0.031,kdic-www-rb-lbltajmt-LbltAjmtSprtPsnBr-selectScrn#02,0.0304,"예금보험공사는 부실화된 금융회사의 예금자등이 찾아가지 아니한 금액을 고객 미수령금으로 분류하여 통합 관리하고 있으며, 지속적인 홍보 및 안내를 통한 적극적인 미수",문 이송 각하·기각 예납명령 기각 파산선고 파산관재인 선임 파산관재인 재산관리·조사 채권자집회 의견청취기일(면책심문기일) 파산
42,heading,고객 미수령금 신청,개산지급금 정산금이란?,kdic-www-sp-dpstrprot-ProtSystNramtInqAplyNramtGudn-selectScrn;kdic-fins-ua-aplygudn-NramtItgrAplyItrdMthdGudn-selectScrn,kdic-www-sp-dpstrprot-ProtSystNramtInqAplyNramtGudn-selectScrn#00,1,8,0,0,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#01,0.0305,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#10,0.0289,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#02,0.0279,"예금보험공사는 부실화된 금융회사의 예금자등이 찾아가지 아니한 금액을 고객 미수령금으로 분류하여 통합 관리하고 있으며, 지속적인 홍보 및 안내를 통한 적극적인 미수",예금보험금/개산지급금/가지급금 신청 바로가기」 에 접속하여 예금보험금/개산지급금/가지급금을 신청하실 수 있습니다. 예금보험금이
43,heading,착오송금 반환 신청,신청 가능한 착오송금 금액 한도가 있나요?,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn;kdic-fins-ir-msdrpr-MsdrprAttnMttr-selectScrn;kdic-fins-cm-bbs-selectFaqMsdrGvbkAply,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn#00,1,1,1,1,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn#00,0.0328,kdic-www-sp-kmrs-kmrsItrdProc-selectScrn#00,0.032,kdic-www-sp-kmrs-kmrsItrdAplyMthd-selectScrn#00,0.0318,신청 가능한 착오송금 금액 한도가 있나요? 신청 가능 한도는 착오송금 건당 5만원 이상 ~ 1억원 이하 입니다. 언제까지 신청하면 되나요? 잘못 이체한 날로부터 ,신청 가능한 착오송금 금액 한도가 있나요? 신청 가능 한도는 착오송금 건당 5만원 이상 ~ 1억원 이하 입니다. 언제까지 신청
44,heading,착오송금 반환 신청,언제까지 신청하면 되나요?,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn;kdic-fins-ir-msdrpr-MsdrprAttnMttr-selectScrn,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn#00,1,1,1,1,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn#00,0.0328,kdic-www-sp-dpstrprot-DpsmIbamtExpln-selectScrn#02,0.0299,kdic-www-rb-lbltajmt-LbltAjmtSprtCredRcvrySprt-selectScrn#01,0.0292,신청 가능한 착오송금 금액 한도가 있나요? 신청 가능 한도는 착오송금 건당 5만원 이상 ~ 1억원 이하 입니다. 언제까지 신청하면 되나요? 잘못 이체한 날로부터 ,신청 가능한 착오송금 금액 한도가 있나요? 신청 가능 한도는 착오송금 건당 5만원 이상 ~ 1억원 이하 입니다. 언제까지 신청
45,heading,착오송금 반환 신청,예금보험공사에 신청하기 전에 해야 할 일이 있나요?,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn;kdic-fins-ir-msdrpr-MsdrprAttnMttr-selectScrn,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn#00,1,1,1,1,kdic-www-sp-kmrs-kmrsItrdAplyTrgt-selectScrn#00,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#11,0.0295,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#07,0.0294,신청 가능한 착오송금 금액 한도가 있나요? 신청 가능 한도는 착오송금 건당 5만원 이상 ~ 1억원 이하 입니다. 언제까지 신청하면 되나요? 잘못 이체한 날로부터 ,신청 가능한 착오송금 금액 한도가 있나요? 신청 가능 한도는 착오송금 건당 5만원 이상 ~ 1억원 이하 입니다. 언제까지 신청
